,startlist_old,startlist_new,parcours,date,distance,points_scale,uci_scale,profile_score,vertical_meters,startlist_quality,title
0,geraint-thomas,THOMAS Geraint,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
1,thymen-arensman,ARENSMAN Thymen,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
2,tobias-foss,FOSS Tobias,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
3,filippo-ganna,GANNA Filippo,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
4,jhonatan-narvaez,NARVÁEZ Jhonatan,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
5,magnus-sheffield,SHEFFIELD Magnus,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
6,ben-swift,SWIFT Ben,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
7,connor-swift,SWIFT Connor,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
8,kaden-groves,GROVES Kaden,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
9,tobias-bayer,BAYER Tobias,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
10,nicola-conci,CONCI Nicola,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
11,quinten-hermans,HERMANS Quinten,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
12,jimmy-janssens,JANSSENS Jimmy,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
13,timo-kielich,KIELICH Timo,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
14,edward-planckaert,PLANCKAERT Edward,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
15,fabio-van-den-bossche,VAN DEN BOSSCHE Fabio,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
16,jenthe-biermans,BIERMANS Jenthe,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
17,louis-barre,BARRÉ Louis,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
18,ewen-costiou,COSTIOU Ewen,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
19,david-dekker,DEKKER David,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
20,donavan-grondin,GRONDIN Donavan,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
21,michel-ries,RIES Michel,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
22,alan-riou,RIOU Alan,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
23,alessandro-verre,VERRE Alessandro,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
24,simone-velasco,VELASCO Simone,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
25,davide-ballerini,BALLERINI Davide,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
26,aleksey-lutsenko,LUTSENKO Alexey,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
27,lorenzo-fortunato,FORTUNATO Lorenzo,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
28,max-kanter,KANTER Max,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
29,henok-mulubrhan,MULUBRHAN Henok,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
30,vadim-pronskiy,PRONSKIY Vadim,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
31,christian-scaroni,SCARONI Christian,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
32,daniel-felipe-martinez,MARTÍNEZ Daniel Felipe,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
33,giovanni-aleotti,ALEOTTI Giovanni,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
34,jonas-koch,KOCH Jonas,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
35,florian-lipowitz,LIPOWITZ Florian,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
36,ryan-mullen,MULLEN Ryan,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
37,maximilian-schachmann,SCHACHMANN Maximilian,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
38,danny-van-poppel,VAN POPPEL Danny,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
39,patrick-gamper,GAMPER Patrick,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
40,stefano-oldani,OLDANI Stefano,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
41,stanislaw-aniolkowski,ANIOŁKOWSKI Stanisław,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
42,nicolas-debeaumarche,DEBEAUMARCHÉ Nicolas,p2,04 May 2024,136.0,GT.B.Stage,UCI.WR.GT.B.Stage,142.0,1854.0,732.0,Giro d'Italia 2024 Stage 1
